,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,frame_index,YOLO_cls,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
68,5,1739.000,6.987,-7.849,-0.347,-0.044,NaN,NaN,9,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,6,1739.000,34.200,-9.238,-0.046,0.311,0.548,0.057,9,0,978.000,198.000,1003.000,259.000,34.260,-9.180,-1.280,1.880,0.690,1.820,1.472
70,7,1739.000,38.618,-14.905,-0.125,0.218,0.263,NaN,9,0,1126.000,191.000,1147.000,216.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,9,1739.000,27.341,-4.169,0.217,-0.198,NaN,0.276,9,0,799.000,192.000,874.000,287.000,27.510,-4.460,-1.190,1.770,0.580,1.870,-0.761
72,10,1739.000,22.464,2.201,0.093,-0.074,0.843,NaN,9,0,468.000,194.000,511.000,301.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,0,1741.000,32.519,-6.487,-0.043,0.125,0.626,0.270,10,0,879.000,190.000,904.000,241.000,32.490,-6.500,-0.870,0.770,0.760,1.640,-0.068
74,1,1741.000,28.161,-4.725,0.351,-0.133,0.133,NaN,10,0,805.000,193.000,830.000,263.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,2,1741.000,32.256,-11.015,0.191,-0.310,0.659,0.367,10,0,1070.000,189.000,1097.000,253.000,32.280,-11.200,-1.160,0.910,0.460,1.700,2.077
76,3,1741.000,29.008,-4.235,-0.211,0.221,0.640,0.977,10,0,794.000,193.000,830.000,273.000,29.110,-4.220,-1.200,1.950,0.570,1.830,-0.846
77,5,1741.000,6.639,-7.897,-0.348,-0.047,NaN,NaN,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,6,1741.000,34.113,-9.057,-0.062,0.277,0.558,NaN,10,0,966.000,198.000,992.000,247.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,7,1741.000,38.471,-14.815,-0.111,0.135,0.274,NaN,10,0,1124.000,191.000,1141.000,217.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,9,1741.000,27.575,-4.385,0.216,-0.225,0.511,0.702,10,0,830.000,192.000,858.000,265.000,27.660,-4.570,-1.210,1.820,0.620,1.860,-0.668
81,10,1741.000,22.981,1.997,0.320,-0.180,0.828,NaN,10,0,486.000,194.000,528.000,297.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,11,1741.000,14.912,4.215,0.000,0.000,0.623,NaN,10,0,228.000,200.000,241.000,232.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,0,1742.000,32.327,-6.495,-0.114,0.072,0.447,NaN,11,0,878.000,191.000,898.000,228.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,1,1742.000,28.479,-4.756,0.346,-0.046,0.164,NaN,11,0,795.000,193.000,825.000,244.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,2,1742.000,32.474,-11.281,0.192,-0.298,0.486,0.943,11,0,1071.000,188.000,1094.000,259.000,32.500,-11.270,-1.210,0.710,0.670,1.830,0.283
86,3,1742.000,28.782,-3.979,-0.214,0.240,0.527,0.995,11,0,791.000,193.000,826.000,271.000,28.780,-3.950,-1.100,1.720,0.510,1.880,2.385
87,5,1742.000,6.290,-7.944,-0.348,-0.047,NaN,NaN,11,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,6,1742.000,34.053,-8.786,-0.070,0.276,0.600,NaN,11,0,956.000,194.000,986.000,252.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,7,1742.000,38.274,-14.649,-0.178,0.139,0.423,NaN,11,0,1121.000,191.000,1139.000,217.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,9,1742.000,27.671,-4.637,0.160,-0.233,NaN,0.610,11,0,827.000,192.000,862.000,282.000,27.570,-4.620,-1.160,0.520,0.450,1.820,-0.901
91,10,1742.000,23.498,1.885,0.367,-0.184,0.826,NaN,11,0,497.000,195.000,540.000,297.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,11,1742.000,14.905,4.228,0.015,0.008,0.110,NaN,11,0,227.000,200.000,241.000,220.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,12,1742.000,27.500,-4.520,0.000,0.000,0.705,0.841,11,0,835.000,191.000,857.000,232.000,27.500,-4.520,-1.130,0.930,0.430,1.810,2.824
94,0,1744.000,32.261,-6.256,-0.089,0.155,0.276,NaN,12,0,873.000,192.000,889.000,217.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,1,1744.000,28.796,-4.669,0.340,0.054,0.502,0.971,12,0,792.000,195.000,816.000,270.000,28.630,-3.840,-1.110,1.680,0.540,1.840,2.352
96,2,1744.000,32.345,-11.212,0.056,-0.167,0.100,NaN,12,0,1081.000,201.000,1108.000,233.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,3,1744.000,28.526,-3.725,-0.235,0.229,0.101,NaN,12,0,793.000,195.000,816.000,242.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,5,1744.000,5.938,-7.992,-0.352,-0.048,NaN,NaN,12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,6,1744.000,33.998,-8.510,-0.069,0.265,0.572,NaN,12,0,942.000,194.000,968.000,247.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,7,1744.000,38.070,-14.555,-0.195,0.118,0.110,NaN,12,0,1121.000,192.000,1135.000,216.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,9,1744.000,27.817,-5.200,0.160,-0.395,0.353,NaN,12,0,872.000,192.000,894.000,264.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,10,1744.000,24.065,1.628,0.519,-0.239,0.723,0.115,12,0,510.000,191.000,552.000,294.000,24.420,1.520,-1.150,0.750,0.600,1.830,0.487
103,11,1744.000,14.926,4.247,0.024,0.007,0.217,NaN,12,0,226.000,200.000,240.000,232.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104,12,1744.000,27.519,-4.507,0.003,0.009,NaN,NaN,12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,0,1745.000,32.175,-6.100,-0.085,0.156,NaN,NaN,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,1,1745.000,29.108,-4.524,0.317,0.145,0.445,0.053,13,0,783.000,195.000,810.000,279.000,28.590,-3.520,-1.280,1.880,0.580,1.860,-0.933
107,2,1745.000,32.448,-11.438,0.103,-0.226,0.565,NaN,13,0,1087.000,197.000,1115.000,269.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,3,1745.000,28.343,-3.538,-0.199,0.206,0.110,0.936,13,0,771.000,196.000,802.000,279.000,28.390,-3.580,-1.140,1.670,0.580,1.830,-0.759
109,5,1745.000,5.587,-8.041,-0.351,-0.049,NaN,NaN,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,6,1745.000,34.022,-8.426,-0.034,0.174,0.698,NaN,13,0,934.000,193.000,965.000,250.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111,7,1745.000,37.884,-14.436,-0.186,0.119,NaN,NaN,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112,9,1745.000,27.981,-5.569,0.164,-0.369,0.139,NaN,13,0,869.000,192.000,897.000,267.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113,10,1745.000,24.576,1.398,0.511,-0.230,0.682,NaN,13,0,517.000,183.000,559.000,268.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
114,11,1745.000,14.927,4.248,0.007,0.004,0.109,NaN,13,0,225.000,200.000,240.000,221.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115,12,1745.000,27.636,-5.017,0.066,-0.253,0.350,NaN,13,0,861.000,199.000,888.000,271.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
